category,age_band,text_he,text_en,option1,option2,option3,option1_en,option2_en,option3_en,correct_index
math,10-11,כמה זה 25 ועוד 48?,What is 25 plus 48?,73,63,83,73,63,83,0
math,10-11,כמה זה 9 כפול 6?,What is 9 times 6?,54,45,63,54,45,63,0
math,10-11,כמה זה 100 פחות 37?,What is 100 minus 37?,63,53,73,63,53,73,0
math,10-11,כמה חצאים יש בשלם אחד?,How many halves make one whole?,2,3,4,2,3,4,0
math,10-11,כמה זה חצי מ-50?,What is half of 50?,25,20,30,25,20,30,0
math,10-11,כמה צלעות יש למשולש?,How many sides does a triangle have?,3,4,5,3,4,5,0
math,12-13,כמה זה 15% מ-80?,What is 15% of 80?,12,10,15,12,10,15,0
math,12-13,מהו הערך של x במשוואה: 2x + 5 = 17. מה x?,Solve: 2x + 5 = 17. What is x?,6,5,7,6,5,7,0
math,12-13,"מה שטח ריבוע שאורך צלעו 7 ס""מ?",What is the area of a square with a 7cm side?,49,36,64,49,36,64,0
math,12-13,כמה זה 144 חלקי 12?,What is 144 divided by 12?,12,10,15,12,10,15,0
math,12-13,כמה זה 3 בחזקת 3?,What is 3 to the power of 3?,27,24,30,27,24,30,0
math,12-13,מה ההיקף של מלבן שאורכו 10 ורוחבו 4?,What is the perimeter of a rectangle with length 10 and width 4?,28,24,32,28,24,32,0
math,14-16,מהו הערך של x במשוואה: 3x - 7 = 2x + 5. מה x?,Solve: 3x - 7 = 2x + 5. What is x?,12,10,15,12,10,15,0
math,14-16,מה שטח משולש שבסיסו 10 וגובהו 6?,What is the area of a triangle with base 10 and height 6?,30,24,36,30,24,36,0
math,14-16,כמה זה השורש הריבועי של 169?,What is the square root of 169?,13,12,14,13,12,14,0
math,14-16,"אם מכונית נוסעת 60 קמ""ש, כמה ק""מ תעבור ב-2.5 שעות?","If a car travels at 60 km/h, how many km will it cover in 2.5 hours?",150,120,180,150,120,180,0
math,14-16,"מה הממוצע של 4, 9, 14, 21?","What is the average of 4, 9, 14, 21?",12,10,15,12,10,15,0
math,14-16,כמה זה 2/3 פחות 1/6?,What is 2/3 minus 1/6?,1/2,1/3,2/3,1/2,1/3,2/3,0
science,10-11,כמה רגליים יש לעכביש?,How many legs does a spider have?,8,6,10,8,6,10,0
science,10-11,איזה גז אנחנו נושמים מהאוויר?,Which gas do we breathe in from the air?,חמצן,פחמן,מימן,Oxygen,Carbon,Hydrogen,0
science,10-11,איזה כוכב לכת הכי קרוב לשמש?,Which planet is closest to the sun?,כוכב חמה,נוגה,מאדים,Mercury,Venus,Mars,0
science,10-11,כמה עונות יש בשנה?,How many seasons are there in a year?,4,3,5,4,3,5,0
science,10-11,מה שם התהליך שבו מים הופכים לאדים?,What is the process called where water turns into vapor?,אידוי,המסה,עיבוי,Evaporation,Melting,Condensation,0
science,10-11,איזה איבר בגוף שואב דם?,Which organ in the body pumps blood?,הלב,הכבד,הריאה,The heart,The liver,The lung,0
science,12-13,מהו הסמל הכימי של מים?,What is the chemical symbol for water?,H2O,CO2,O2,H2O,CO2,O2,0
science,12-13,"כמה עצמות יש בגוף אדם בוגר, בערך?","How many bones does an adult human body have, approximately?",206,186,226,206,186,226,0
science,12-13,מה שם הכוח שמושך עצמים לכדור הארץ?,What is the force that pulls objects toward Earth called?,כוח המשיכה,חיכוך,לחץ אוויר,Gravity,Friction,Air pressure,0
science,12-13,איזה גז פולטים צמחים ביום?,What gas do plants release during the day?,חמצן,פחמן,מימן,Oxygen,Carbon,Hydrogen,0
science,12-13,כמה חדרים יש בלב האדם?,How many chambers does the human heart have?,4,3,5,4,3,5,0
science,12-13,מה שם היחידה הבסיסית של כל יצור חי?,What is the basic unit of all living things called?,תא,רקמה,איבר,Cell,Tissue,Organ,0
science,14-16,מה שם התהליך שבו תא מתחלק לשני תאים זהים?,What is the process called where a cell divides into two identical cells?,מיטוזה,מיוזה,פוטוסינתזה,Mitosis,Meiosis,Photosynthesis,0
science,14-16,איזה כוכב לכת הכי גדול במערכת השמש?,Which is the largest planet in the solar system?,צדק,שבתאי,אורנוס,Jupiter,Saturn,Uranus,0
science,14-16,מהו הסמל הכימי של ברזל?,What is the chemical symbol for iron?,Fe,Cu,Zn,Fe,Cu,Zn,0
science,14-16,"כמה זמן לוקח לאור מהשמש להגיע לכדור הארץ, בערך?",About how long does it take sunlight to reach Earth?,כ-8 דקות,כ-2 דקות,כ-20 דקות,About 8 minutes,About 2 minutes,About 20 minutes,0
science,14-16,מה שם המולקולה שנושאת מידע גנטי?,What is the molecule that carries genetic information called?,DNA,RNA,ATP,DNA,RNA,ATP,0
science,14-16,מהי היחידה למדידת כוח?,What is the unit for measuring force?,ניוטון,ג'אול,וואט,Newton,Joule,Watt,0
israeli_history,10-11,באיזו שנה הוכרזה מדינת ישראל?,In what year was the State of Israel declared?,1948,1947,1949,1948,1947,1949,0
israeli_history,10-11,מה שם עיר הבירה של ישראל?,What is Israel's capital city?,ירושלים,תל אביב,חיפה,Jerusalem,Tel Aviv,Haifa,0
israeli_history,10-11,מה שם ההמנון הלאומי של ישראל?,What is Israel's national anthem called?,התקווה,ירושלים של זהב,הבה נגילה,Hatikvah,Jerusalem of Gold,Hava Nagila,0
